ITEM: 126b6b19-2e75-4fdb-b351-de5f1d0b636b | UN aims to raise nearly $50 million for Nepal flood response | LOC: दार्चुला | COORDS: (29.912733, 80.793716) | CLUSTER: caa30e39-7da6-4c56-bde3-fb7b19865e1e
ITEM: f78857ae-a8a5-4b59-bef1-09225c6e8a78 | The Ghoulish Race to Turn Nepal’s Flood Victims Into a ‘Climate Crisis’ Talking Point | LOC: Nepal | COORDS: (None, None) | CLUSTER: None
ITEM: 71877363-a4dc-4be8-bd0c-5a84f28d39da | How the Chinese Government Has Controlled the Narrative on the Tibet Floods | LOC: Nepal | COORDS: (None, None) | CLUSTER: None
ITEM: 5ae88633-971e-4b3b-9e76-d066e576d733 | When Disaster Strikes: What's Happening in Nepal and Xizang, China | LOC: दार्चुला | COORDS: (29.912733, 80.793716) | CLUSTER: 9a68f21d-744d-486e-aad6-43305bcbb36a
ITEM: 609d5022-fd46-4d37-80fb-5e5fe27ddb9c | Weather tomorrow: IMD forecasts rain across several states; heavy rain alert for northeast, Bihar, Jharkhand | LOC: Delhi | COORDS: (28.666453, 77.216978) | CLUSTER: 9d3106cf-ee04-4dd0-a325-d3624475e09e
ITEM: 612fa41a-a28d-4ee2-bc57-c1af645da1ab | 'A rare moment of joy': Nepal tunnel rescues give hope for more flood survivors | LOC: दार्चुला | COORDS: (29.912733, 80.793716) | CLUSTER: caa30e39-7da6-4c56-bde3-fb7b19865e1e
ITEM: 6273ac50-eca0-45f1-ab88-f7c3d4f60b6a | Blood samples from relatives of missing persons in Nepal floods collected | LOC: दार्चुला | COORDS: (29.912733, 80.793716) | CLUSTER: caa30e39-7da6-4c56-bde3-fb7b19865e1e
ITEM: 64b88c3f-3f11-439f-9c84-611c246e8944 | 40 high-hazard glacial lakes identified in Sikkim, 16 at highest risk of outburst | LOC: Sikkim | COORDS: (27.601611, 88.45502) | CLUSTER: 184ab28a-142a-4a86-aff0-5247be4492eb
ITEM: 67a4b0e8-10e7-49b3-8627-203bfb66f986 | Odisha govt unveils ₹1,000 crore relief package for flood-hit districts | LOC: Odisha | COORDS: (20.543124, 84.689732) | CLUSTER: d4f8ed04-4441-47b2-9893-d1d1d820a242
ITEM: 7379c7b6-ec64-43b4-ba7a-68e6c79c8879 | Ganga water level crosses warning mark in Varanasi, rises at 2 cm per hr | LOC: Bihar | COORDS: (25.644085, 85.906508) | CLUSTER: 0ecca9a8-f051-49fb-97f9-33ebee0d51fd
ITEM: 799e6805-6a17-42f3-8ed4-c746e17bcf25 | The Himalayas Are Sending a Strategic Warning | LOC: दार्चुला | COORDS: (29.912733, 80.793716) | CLUSTER: caa30e39-7da6-4c56-bde3-fb7b19865e1e
ITEM: 7e9842d9-22bc-48b7-b883-034771c2f319 | IMD Red Alert: Extremely heavy rainfall predicted across Coastal Karnataka and Goa | LOC: Coastal Karnataka, Mangaluru, Goa, India | COORDS: (20.5937, 78.9629) | CLUSTER: 9d3106cf-ee04-4dd0-a325-d3624475e09e
ITEM: 8ce21fcc-7365-46ba-8f84-6698a648c471 | NDMA Sachet Advisory: Urban Waterlogging & Lightning Warning in Mumbai | LOC: Mumbai | COORDS: (19.054999, 72.869203) | CLUSTER: a300251e-c017-499e-ad99-49a5606dfc52
ITEM: 5a7936ae-4df7-4833-a851-f18f5b03cdd3 | Nepal floods show the risk; China's mega-dam raises bigger questions for India | LOC: Nepal | COORDS: (None, None) | CLUSTER: None
ITEM: ad100520-6deb-4728-ab27-5aa3114afcd6 | Evening newswrap: Terrorist behind IAF convoy attack killed; Putin orders 3-day pause in Kyiv strikes &amp; more | LOC: Nepal | COORDS: (None, None) | CLUSTER: None
ITEM: 8d126ed2-5961-4f17-883b-5664c7215e7f | Balen promises safe, comfortable shelter for flood-hit children | LOC: काठमाडौँ महानगरपालिका | COORDS: (27.708317, 85.320582) | CLUSTER: caa30e39-7da6-4c56-bde3-fb7b19865e1e
ITEM: 8d654f0e-0ef4-4b5b-981f-4fe9ef104ca2 | Nepal flood losses estimated at $2.56 billion, official says - Reuters | LOC: दार्चुला | COORDS: (29.912733, 80.793716) | CLUSTER: caa30e39-7da6-4c56-bde3-fb7b19865e1e
ITEM: 8db1d338-e9cb-440c-b779-882656faa4bf | Rivers breach danger mark in Bihar, portend more flooding | LOC: Bihar | COORDS: (25.286135, 87.130423) | CLUSTER: 0ecca9a8-f051-49fb-97f9-33ebee0d51fd
ITEM: 902fa39f-66fc-4d84-a02e-b460c74a7d0d | IMD Bulletin: Depression over Bay of Bengal likely to intensify into Cyclonic Storm | LOC: Odisha | COORDS: (20.543124, 84.689732) | CLUSTER: 9ce978d5-1d40-4a35-9eba-afdb0af307fe
ITEM: 041a2f88-931e-45ce-824c-069c2498d535 | School holiday tomorrow, September 2? Check latest state-wise update | LOC: Himachal Pradesh | COORDS: (31.929235, 77.182846) | CLUSTER: 787175e3-36b2-4461-9fce-0a3f64d2c370
ITEM: 977e6b4e-e2ad-44cb-9202-0dd1e80371a4 | Nepal rescuers try to reach dozens trapped in tunnel after two found alive | LOC: 拉萨市 ལྷ་ས་གྲོང་ཁྱེར། | COORDS: (29.654205, 91.117301) | CLUSTER: caa30e39-7da6-4c56-bde3-fb7b19865e1e
ITEM: a5bcb40a-cf02-49ec-9f90-a2d948b9e517 | Delhi weather: IGI Airport witnesses waterlogging, airlines issue travel advisory amid IMD's red alert | LOC: Delhi | COORDS: (28.666453, 77.216978) | CLUSTER: 9d3106cf-ee04-4dd0-a325-d3624475e09e
ITEM: af812c0b-1808-463a-8303-d2d71182fe0b | Bhotekoshi flood-affected families to be rehabilitated soon | LOC: काठमाडौँ महानगरपालिका | COORDS: (27.708317, 85.320582) | CLUSTER: caa30e39-7da6-4c56-bde3-fb7b19865e1e
ITEM: b23293c1-8525-4bb4-9def-120d58a70188 | Hill slip thwarts train services on Kalka-Shimla route, over 400 passengers rescued | LOC: Shimla | COORDS: (31.104039, 77.170792) | CLUSTER: d9a66137-224e-49be-acd3-82aeae405ccf
ITEM: b3f83e49-a0df-43f5-9fea-f5252015f1f9 | Lagrangian tracking of the East India Coastal Current during winter 2024–2025: modulation by mesoscale eddies and tropical cyclone in the Bay of Bengal | LOC: Bay of Bengal, India | COORDS: (20.5937, 78.9629) | CLUSTER: 420e3bbc-6ed4-4139-98e1-b44b0102c9e7
ITEM: b492940c-19d8-4d33-87fc-a6f9e892e454 | NDMA Sachet Alert: Flash Flood Warning in Brahmaputra River Basin | LOC: Dibrugarh | COORDS: (27.48446, 94.901945) | CLUSTER: be667066-c495-4ce5-be40-112fbe767c24
ITEM: ba76bb42-b583-4319-af60-0b6a24729aa0 | Did Climate Change Cause the Flooding in Nepal? | LOC: दार्चुला | COORDS: (29.912733, 80.793716) | CLUSTER: caa30e39-7da6-4c56-bde3-fb7b19865e1e
ITEM: bf3fa534-9569-47f8-abc1-b6cac2c774e4 | The collapse of a mountainside triggered Nepal’s devastating floods. As the region’s mountains heat up, it won’t be the last | LOC: दार्चुला | COORDS: (29.912733, 80.793716) | CLUSTER: caa30e39-7da6-4c56-bde3-fb7b19865e1e
ITEM: c1538198-3927-4ac9-911e-eb80b054d387 | West Bengal formulating plan to address riverbank erosion in coordination with Bihar, Jharkhand, involving IIT Kanpur | LOC: West Bengal | COORDS: (22.996495, 87.685588) | CLUSTER: 87d4279e-10cf-49c2-b27e-142f94487ade
ITEM: c22896b4-4250-47d3-8a87-fc66a1ee7f79 | As climate change warms the Himalayas, disasters like the Nepal floods are becoming more frequent | LOC: दार्चुला | COORDS: (29.912733, 80.793716) | CLUSTER: caa30e39-7da6-4c56-bde3-fb7b19865e1e
ITEM: c95ac16f-e360-4c6d-a02d-f6aa6a12ccea | Weather Today August 23: Heavy rain alert for Uttarakhand, Odisha, Delhi, Northeast; check state-wise forecast | LOC: Delhi | COORDS: (28.666453, 77.216978) | CLUSTER: 9d3106cf-ee04-4dd0-a325-d3624475e09e
ITEM: d1d057fb-dcd6-4d22-aadb-102fc5ebf94c | Flooding in Kurla and Dadar after intense cloudburst in Mumbai | LOC: Mumbai | COORDS: (19.054999, 72.869203) | CLUSTER: a300251e-c017-499e-ad99-49a5606dfc52
ITEM: d7259e77-e849-496d-b431-760fc7538968 | IMD Severe Weather Warning: Severe Heatwave conditions in Western Rajasthan | LOC: Jaisalmer, Bikaner, Rajasthan, India | COORDS: (20.5937, 78.9629) | CLUSTER: 9c0ddc9b-fe9a-4f0e-acc5-1e8309912678
ITEM: dd848734-712e-4a65-948c-78f0fe7748ff | From airport to CP: 5 videos capture Delhi’s waterlogging woes ahead of BRICS Summit | LOC: Delhi | COORDS: (28.666453, 77.216978) | CLUSTER: 9d3106cf-ee04-4dd0-a325-d3624475e09e
ITEM: de11872b-625e-4f9b-8de9-2564c0e94a60 | Bihar: Flood situation remains grim in Saran as Ganga, Saryu, Gandak rivers' levels rise | LOC: Chapra | COORDS: (25.773344, 84.784977) | CLUSTER: 163beb52-b5ad-4eb1-8dbc-59bf359f71d1
ITEM: e148c483-d712-470c-9892-7860c6a85fc3 | Weather Tomorrow August 24: Heavy rain alert for Odisha, Uttarakhand, Himachal Pradesh; Check state-wise forecast | LOC: Delhi | COORDS: (28.666453, 77.216978) | CLUSTER: 9d3106cf-ee04-4dd0-a325-d3624475e09e
ITEM: f0c90a11-eb1d-4a12-a3b8-2a2755b316da | Bhotekoshi flood: Govt continues search and rescue operations | LOC: दार्चुला | COORDS: (29.912733, 80.793716) | CLUSTER: caa30e39-7da6-4c56-bde3-fb7b19865e1e
ITEM: ff96bed0-4e33-4a63-abf4-845ad1d65996 | Tibet flash flood death toll rises to 31, another 531 missing | LOC: 拉萨市 ལྷ་ས་གྲོང་ཁྱེར། | COORDS: (29.654205, 91.117301) | CLUSTER: caa30e39-7da6-4c56-bde3-fb7b19865e1e
ITEM: c1480f7e-b622-4d5e-914c-21299c27d05d | Severe waterlogging on Outer Ring Road, Bengaluru after overnight rains | LOC: Bengaluru | COORDS: (12.976794, 77.590082) | CLUSTER: 02c00bb2-98ac-4984-9e45-7176f3fffd49
ITEM: 0baba8b2-c05c-46c8-90cb-fe709fbe05de | Delhi sees humid day; heavy rain alert issued for eastern coastal states | LOC: Delhi | COORDS: (28.666453, 77.216978) | CLUSTER: 9d3106cf-ee04-4dd0-a325-d3624475e09e
ITEM: 0c16810f-197f-423f-9102-93f6a5a1fd66 | India stands shoulder to shoulder with Nepal after Bhotekoshi floods | LOC: दार्चुला | COORDS: (29.912733, 80.793716) | CLUSTER: caa30e39-7da6-4c56-bde3-fb7b19865e1e
ITEM: 78d36be5-9b3c-45c7-8654-87a620662d5c | Massive dust storm hitting parts of Delhi NCR right now, visibility dropped near zero | LOC: Noida | COORDS: (28.570633, 77.327215) | CLUSTER: 9d3106cf-ee04-4dd0-a325-d3624475e09e
ITEM: fb9d52b5-41c6-4e4f-810f-0f4d7d2e4b3a | Nepal Pays the Price for Climate Change | LOC: दार्चुला | COORDS: (29.912733, 80.793716) | CLUSTER: caa30e39-7da6-4c56-bde3-fb7b19865e1e

==================================================
CLUSTERS:
==================================================

CLUSTER: 02c00bb2-98ac-4984-9e45-7176f3fffd49 | Severe waterlogging on Outer Ring Road, Bengaluru after overnight rains | LOC: Bengaluru | COORDS: (12.976794, 77.590082) | ITEMS: ['c1480f7e-b622-4d5e-914c-21299c27d05d']
CLUSTER: 0ecca9a8-f051-49fb-97f9-33ebee0d51fd | Ganga water level crosses warning mark in Varanasi, rises at 2 cm per hr | LOC: Bihar | COORDS: (25.46511, 86.518465) | ITEMS: ['8db1d338-e9cb-440c-b779-882656faa4bf', '7379c7b6-ec64-43b4-ba7a-68e6c79c8879']
CLUSTER: 163beb52-b5ad-4eb1-8dbc-59bf359f71d1 | Bihar: Flood situation remains grim in Saran as Ganga, Saryu, Gandak rivers' levels rise | LOC: Chapra | COORDS: (25.773344, 84.784977) | ITEMS: ['de11872b-625e-4f9b-8de9-2564c0e94a60']
CLUSTER: 184ab28a-142a-4a86-aff0-5247be4492eb | 40 high-hazard glacial lakes identified in Sikkim, 16 at highest risk of outburst | LOC: Sikkim | COORDS: (27.601611, 88.45502) | ITEMS: ['64b88c3f-3f11-439f-9c84-611c246e8944']
CLUSTER: 420e3bbc-6ed4-4139-98e1-b44b0102c9e7 | Lagrangian tracking of the East India Coastal Current during winter 2024–2025: modulation by mesoscale eddies and tropical cyclone in the Bay of Bengal | LOC: Bay of Bengal, India | COORDS: (20.5937, 78.9629) | ITEMS: ['b3f83e49-a0df-43f5-9fea-f5252015f1f9']
CLUSTER: 52fb18a6-1c90-426c-a050-6ba70d574240 | Rebuilding in Nepal-Tibet will be challenging – communities in India are still recovering from 2023 glacial disaster | LOC: Gangtok | COORDS: (27.329046, 88.612267) | ITEMS: ['268166a2-07f0-4cd4-b855-85c17849d4ee']
CLUSTER: 681d3646-e8fb-4135-959b-3322aa7334da | Himachal Pradesh to see active monsoon till September 3 as 98 roads remain blocked | LOC: Himachal Pradesh | COORDS: (31.929235, 77.182846) | ITEMS: ['540acb5a-8365-40d2-b298-f13a06a9a566']
CLUSTER: 787175e3-36b2-4461-9fce-0a3f64d2c370 | School holiday tomorrow, September 2? Check latest state-wise update | LOC: Himachal Pradesh | COORDS: (31.929235, 77.182846) | ITEMS: ['041a2f88-931e-45ce-824c-069c2498d535']
CLUSTER: 86e1dcb9-0f41-42dc-9f2d-c899d75f423c | Earthquake tremors felt in Guwahati, Assam around 2 minutes ago | LOC: Guwahati | COORDS: (26.180598, 91.753943) | ITEMS: ['557a41e9-bc3e-482a-80c1-92252ba209ba']
CLUSTER: 87d4279e-10cf-49c2-b27e-142f94487ade | West Bengal formulating plan to address riverbank erosion in coordination with Bihar, Jharkhand, involving IIT Kanpur | LOC: West Bengal | COORDS: (22.996495, 87.685588) | ITEMS: ['c1538198-3927-4ac9-911e-eb80b054d387']
CLUSTER: 9a68f21d-744d-486e-aad6-43305bcbb36a | When Disaster Strikes: What's Happening in Nepal and Xizang, China | LOC: दार्चुला | COORDS: (29.912733, 80.793716) | ITEMS: ['5ae88633-971e-4b3b-9e76-d066e576d733']
CLUSTER: 9c0ddc9b-fe9a-4f0e-acc5-1e8309912678 | IMD Severe Weather Warning: Severe Heatwave conditions in Western Rajasthan | LOC: Jaisalmer, Bikaner, Rajasthan, India | COORDS: (20.5937, 78.9629) | ITEMS: ['d7259e77-e849-496d-b431-760fc7538968']
CLUSTER: 9ce978d5-1d40-4a35-9eba-afdb0af307fe | IMD Bulletin: Depression over Bay of Bengal likely to intensify into Cyclonic Storm | LOC: Odisha | COORDS: (20.543124, 84.689732) | ITEMS: ['902fa39f-66fc-4d84-a02e-b460c74a7d0d']
CLUSTER: d4f8ed04-4441-47b2-9893-d1d1d820a242 | Odisha govt unveils ₹1,000 crore relief package for flood-hit districts | LOC: Odisha | COORDS: (20.543124, 84.689732) | ITEMS: ['67a4b0e8-10e7-49b3-8627-203bfb66f986']
CLUSTER: d9a66137-224e-49be-acd3-82aeae405ccf | Hill slip thwarts train services on Kalka-Shimla route, over 400 passengers rescued | LOC: Shimla | COORDS: (31.104039, 77.170792) | ITEMS: ['b23293c1-8525-4bb4-9def-120d58a70188']
CLUSTER: 9d3106cf-ee04-4dd0-a325-d3624475e09e | Weather tomorrow: IMD warns of extremely heavy rain in West Bengal, Odisha; heavy showers likely in several states | LOC: Delhi | COORDS: (27.696971, 78.280807) | ITEMS: ['78d36be5-9b3c-45c7-8654-87a620662d5c', '46bd3e98-2442-4117-bb50-8ae32fa60eaf', 'dd848734-712e-4a65-948c-78f0fe7748ff', '19ea6157-af49-4b95-a75b-1271f5fcb9dd', '0baba8b2-c05c-46c8-90cb-fe709fbe05de', 'a5bcb40a-cf02-49ec-9f90-a2d948b9e517', 'c95ac16f-e360-4c6d-a02d-f6aa6a12ccea', '609d5022-fd46-4d37-80fb-5e5fe27ddb9c', 'e148c483-d712-470c-9892-7860c6a85fc3', '209a453a-b58b-418e-ae86-80901d1474d0', '7e9842d9-22bc-48b7-b883-034771c2f319', '354383d7-ee7e-4818-a1fd-a1683068f384', '4cc0586e-802e-4bd6-a9de-bbf77eb485fa']
CLUSTER: a300251e-c017-499e-ad99-49a5606dfc52 | NDMA Sachet Advisory: Urban Waterlogging & Lightning Warning in Mumbai | LOC: Mumbai | COORDS: (19.054999, 72.869203) | ITEMS: ['d1d057fb-dcd6-4d22-aadb-102fc5ebf94c', '8ce21fcc-7365-46ba-8f84-6698a648c471']
CLUSTER: be667066-c495-4ce5-be40-112fbe767c24 | NDMA Sachet Alert: Flash Flood Warning in Brahmaputra River Basin | LOC: Dibrugarh | COORDS: (27.48446, 94.901945) | ITEMS: ['b492940c-19d8-4d33-87fc-a6f9e892e454']
CLUSTER: caa30e39-7da6-4c56-bde3-fb7b19865e1e | The collapse of a mountainside triggered Nepal’s devastating floods. As the region’s mountains heat up, it won’t be the last | LOC: दार्चुला | COORDS: (29.653476, 82.356921) | ITEMS: ['6273ac50-eca0-45f1-ab88-f7c3d4f60b6a', '612fa41a-a28d-4ee2-bc57-c1af645da1ab', '8d654f0e-0ef4-4b5b-981f-4fe9ef104ca2', '3a769581-5d9b-48c2-b970-592665149a35', '410c2303-1376-40bd-b590-17254b524904', 'f0c90a11-eb1d-4a12-a3b8-2a2755b316da', 'ba76bb42-b583-4319-af60-0b6a24729aa0', 'c22896b4-4250-47d3-8a87-fc66a1ee7f79', '977e6b4e-e2ad-44cb-9202-0dd1e80371a4', '126b6b19-2e75-4fdb-b351-de5f1d0b636b', '20ed0b9b-1d08-4d8b-9a9a-f20caf3933fb', 'bf3fa534-9569-47f8-abc1-b6cac2c774e4', '799e6805-6a17-42f3-8ed4-c746e17bcf25', 'fb9d52b5-41c6-4e4f-810f-0f4d7d2e4b3a', '5a2c300a-5822-4a98-9fe2-33c3fca4334d', '0c16810f-197f-423f-9102-93f6a5a1fd66', 'af812c0b-1808-463a-8303-d2d71182fe0b', 'ff96bed0-4e33-4a63-abf4-845ad1d65996', '8d126ed2-5961-4f17-883b-5664c7215e7f']
CLUSTER: d2e541da-c064-45bd-831c-b6f052a5b74f | NDMA Sachet Alert: Landslide Risk High along Rishikesh-Badrinath Highway | LOC: Gopeshwar | COORDS: (30.40878, 79.31855) | ITEMS: ['158c37af-a1af-4d1e-a19c-dacc5e4fc48a']
